name,description,sku,barcode,category_id,location_id,location,min_stock,max_stock,purchase_price,sale_price,tax_rate,status
ESPACIADOR DE CIGÜENAL,,JD531004,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,02A02E09-B,5,,8.4,13,0,active
AMORTIGUADOR CIGUENAL,,JD541000,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E07-A,5,,7,11,0,active
ESPACIADOR DE EMBRAGUE,,JD551400,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB2-A,5,,6.3,9,0,active
EJE DE TAMBOR ,,JD561006,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB3-W,5,,11.2,17,0,active
ESTATOR,,JE351025,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-C,5,,328.3,492,0,active
ESTATOR,,JE351031,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-C,5,,328.3,492,0,active
BOBINA DE ALTA 1 LH,,JE351250,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-A,5,,114.8,172,0,active
BOBINA DE ALTA 1 LH,,JE351250-1,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-C,5,,114.8,172,0,active
BOBINA DE ALTA 2 RH,,JE351252,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-C,5,,114.8,172,0,active
MOTOR DE ARRANQUE,,JE351600,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-C,5,,482.3,723,0,active
EMPAQUE DE CUBIERTA DE CULATA,,JE511038,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-B,5,,27.3,41,0,active
EMPAQUE DE CULATA,,JE511085,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-B,5,,39.2,59,0,active
RESORTE DE VALVULA,,JE511153,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-B,5,,20.3,30,0,active
VALVULA DE ADMISION,,JE511208,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-B,5,,62.3,93,0,active
VALVULA DE ESCAPE,,JE511209,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-B,5,,62.3,93,0,active
BALANCIN DE ADMISION,,JE511212,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-B,5,,118.3,177,0,active
CADENA DE DISTRIBUCION,,JE511233,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-B,5,,104.3,156,0,active
EJE DE LEVAS,,JE511253,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-C,5,,244.3,366,0,active
VALVULA DE ADMISION,,JE511255,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-B,5,,62.3,93,0,active
BALANCIN DE ESCAPE,,JE511258,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-B,5,,118.3,177,0,active
VALVULA DE ESCAPE,,JE511261,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-B,5,,62.3,93,0,active
TENSOR AUTOMATICO DE CADENILLA,,JE521016,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-B,5,,63,95,0,active
TENSOR AUTOMATICO DE CADENILLA,,JE521016-1,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,VITRINAB1-C,5,,63,95,0,active
